title,coordinates,date,year
"Major Fire, Ocala National Forest, Florida, United States","[-81.688889, 29.229722]",2023-04-27T14:15:00Z,2023
"Garceau Fire, W of Polson, Montana, United States","[-114.489, 47.694]",2022-08-16T00:00:00Z,2022
"Wildfire - N of Merced, California - United States","[-120.533005422, 37.543469882]",2022-02-16T20:44:00Z,2022
"Wildfire - E of Mesa, Arizona - United States","[-110.862229905, 33.417091555]",2022-02-13T20:40:00Z,2022
"Wildfire - E of Mesa, Arizona - United States","[-110.860071422, 33.416654251]",2022-01-28T08:38:00Z,2022
"Wildfire - SE of Boulder, Colorado - United States","[-105.19282, 39.95983]",2021-12-30T20:37:00Z,2021
"Wildfire - W of Victorville, California - United States","[-117.729843629, 34.396954841]",2021-12-12T20:37:00Z,2021
"Wildfire - E of Mesa, Arizona - United States","[-110.861196043, 33.417201559]",2021-11-27T08:36:00Z,2021
"Wildfire - E of San Luis Obispo, California - United States","[-120.045451449, 35.36753333]",2021-11-26T20:37:00Z,2021
"Wildfire - NW of Montpelier, Idaho - United States","[-111.590258883, 42.686767291]",2021-11-22T20:37:00Z,2021
"Wildfire - W of Riverside, California - United States","[-117.488521503, 33.954878389]",2021-11-21T23:37:00Z,2021
"Wildfire - SW of Boulder City, Nevada - United States","[-115.354724564, 35.621645413]",2021-11-11T20:40:00Z,2021
"Wildfire - S of Tillamook, Oregon - United States","[-123.929934447, 45.009877614]",2021-10-31T09:38:00Z,2021
"Wildfire - E of Mesa, Arizona - United States","[-110.861165478, 33.416293179]",2021-10-24T21:38:00Z,2021
"Wildfire - W of Gila Bend, Arizona - United States","[-113.498576997, 32.974491635]",2021-10-18T21:39:00Z,2021
"Wildfire - W of Yuba City, California - United States","[-122.164046901, 39.080745035]",2021-10-18T21:39:00Z,2021
"Wildfire - SW of Yuba City, California - United States","[-121.667893746, 39.092390021]",2021-10-16T21:38:00Z,2021
"Wildfire - W of Tulare, California - United States","[-120.07159514, 36.082566967]",2021-10-12T21:39:00Z,2021
"Wildfire - W of Santa Barbara, California - United States","[-120.106440487, 34.50631889]",2021-10-12T09:38:00Z,2021
"Wildfire - N of Yuba City, California - United States","[-121.619186074, 39.188019314]",2021-09-27T21:43:00Z,2021
"Wildfire - E of Tulare, California - United States","[-118.664197288, 36.090993645]",2021-09-24T15:41:00Z,2021
"Wildfire - NE of Redding, California - United States","[-122.300586725, 40.707903489]",2021-09-23T21:40:00Z,2021
"Wildfire - W of Lancaster, California - United States","[-118.757917621, 34.676320178]",2021-09-18T14:45:00Z,2021
"Wildfire - NE of Visalia, California - United States","[-118.793009903, 36.518072392]",2021-09-16T01:08:00Z,2021
"Wildfire - E of Mesa, Arizona - United States","[-110.861358494, 33.417542977]",2021-09-10T00:41:00Z,2021
"Wildfire - NE of Modesto, California - United States","[-120.397719545, 37.969258033]",2021-08-27T00:11:00Z,2021
"Wildfire - NW of San Bernardino, California - United States","[-117.443074933, 34.182264114]",2021-08-26T01:23:00Z,2021
"Wildfire - NW of Montpelier, Idaho - United States","[-111.591190059, 42.686670839]",2021-08-25T20:48:00Z,2021
"Wildfire - E of Mesa, Arizona - United States","[-110.859687743, 33.416821311]",2021-08-20T11:54:00Z,2021
"Wildfire - N of Santa Rosa, California - United States","[-122.604087947, 38.924589754]",2021-08-18T23:52:00Z,2021
"Wildfires - Stevens County (Ford Corkscrew Fire), Washington, United States","[-117.72662, 47.93565]",2021-08-16T19:24:00Z,2021
"Wildfires - Lake County (Greenwood Fire), Minnesota, United States","[-91.62542, 47.56328]",2021-08-16T19:19:00Z,2021
"Wildfires - Salt Lake and Summit Counties (Parleys Canyon Fire), Utah, United States","[-111.64845, 40.73292]",2021-08-15T23:31:00Z,2021
"Wildfire - NW of Montpelier, Idaho - United States","[-111.592808877, 42.685232232]",2021-08-15T11:54:00Z,2021
"Stevens County (Nine Mine Fire), Washington, United States","[-118.21131, 48.94482]",2021-08-13T18:01:00Z,2021
"Wildfires - Yuba County (Glen Fire), California, United States","[-121.29963, 39.40551]",2021-08-12T15:45:00Z,2021
"Patton Meadow Fire, Klamath and Lake Counties, Oregon, United States","[-120.599, 42.21]",2021-08-12T15:30:00Z,2021
"Wildfires - Okanogan County (Chickadee Fire), Washington, United States","[-119.79643, 48.76877]",2021-08-09T15:10:00Z,2021
"Wildfires - Colville Indian Reservation (Whitmore Fire), Washington, United States","[-119.14283, 48.16566]",2021-08-06T20:29:00Z,2021
"Wildfires - Siskiyou County (McCash Fire), California, United States","[-123.39812, 41.56375]",2021-08-06T20:16:00Z,2021
"Wildfires - Douglas County (Devils Knob Complex), Oregon, United States","[-122.83812, 42.90764]",2021-08-06T19:52:00Z,2021
"Wildfire - Yakima County (Schneider Springs Fire), Washington, United States","[-121.15523, 46.84509]",2021-08-05T20:21:00Z,2021
"Wildfires - Nevada and Placer Counties (River Fire), California, United States","[-120.97613, 39.11329]",2021-08-05T13:45:00Z,2021
"Spur Fire, Okanogan County, Washington, United States","[-119.079, 48.815]",2021-08-05T02:00:00Z,2021
"Muckamuck Fire, Okanogan County, Washington, United States","[-119.832, 48.575]",2021-08-04T11:00:00Z,2021
"Wildfire - Siskiyou County (River Complex), California, United States","[-123.05161, 41.1534]",2021-08-03T16:37:00Z,2021
"Wildfire - Siskiyou County (Antelope Fire), California, United States","[-121.92528, 41.50178]",2021-08-02T23:25:00Z,2021
"Wildfire - Lane County (Middle Fork Complex), Oregon, United States","[-122.47228, 43.95022]",2021-08-02T18:11:00Z,2021
"Wildfire - Trinity County (Monument Fire), California, United States","[-123.31743, 40.748]",2021-08-02T18:02:00Z,2021
"Wildfire - Lake County (Boulder 2700 Fire), Montana, United States","[-113.99586, 47.77489]",2021-08-02T17:55:00Z,2021
"Wildfire - Bonner County (Pioneer Fire), Idaho, United States","[-116.92985, 48.21894]",2021-08-02T17:49:00Z,2021
"Wildfire - Trinity County (McFarland Fire), California, United States","[-123.06769, 40.34992]",2021-08-01T23:42:00Z,2021
"Wildfires - Garfield County (Green Ridge Fire), Washington, United States","[-117.72063, 46.17848]",2021-07-28T15:57:00Z,2021
"Wildfires - Beaverhead County (Trail Creek Fire), Montana, United States","[-113.84928, 45.60727]",2021-07-28T15:37:00Z,2021
"Wildfire - Spokane County (Hazard Hill Fire), Washington, United States","[-117.47202, 47.82259]",2021-07-28T15:18:00Z,2021
"Wildfire - Broadwater County (Woods Creek Fire), Montana, United States","[-111.30538, 46.5346]",2021-07-27T15:20:00Z,2021
"Wildfire - Colville Reservation (Summit Trail Fire), Washington, United States","[-118.48844, 48.35746]",2021-07-27T15:15:00Z,2021
"Wildfire - Stevens County (Spruce Canyon Fire), Washington, United States","[-117.5832, 48.54019]",2021-07-26T18:36:00Z,2021
"Wildfire - Cascade County (American Fork Fire), Montana, United States","[-110.28626, 46.15516]",2021-07-26T18:32:00Z,2021
"Wildfire - Flathead County (Hay Creek Fire), Montana, United States","[-114.42992, 48.77414]",2021-07-26T18:30:00Z,2021
"Wildfires - Lincoln County (Burnt Peak Fire), Montana, United States","[-116.00995, 48.35426]",2021-07-26T18:26:00Z,2021
"Wildfire - Cascade County (Divide Complex - Balsinger Fire), Montana, United States","[-110.88619, 47.00918]",2021-07-26T14:54:00Z,2021
"Wildfire - Stevens County (Sherwood Fire), Washington, United States","[-117.97914, 47.91946]",2021-07-22T16:33:00Z,2021
"Wildfire - Stevens County (Goddard Road Fire), Washington, United States","[-118.13894, 48.46294]",2021-07-21T16:55:00Z,2021
"Wildfires - Carbon County (Robertson Draw Fire), Montana, United States","[-109.21818, 45.03283]",2021-07-20T15:51:00Z,2021
"Wildfires - Granite County (Anderson Hill Fire), Montana, United States","[-113.3085, 46.81666]",2021-07-20T15:48:00Z,2021
"Wildfires - Shoshone County (Character Complex), Idaho, United States","[-116.02637, 47.63211]",2021-07-19T17:25:00Z,2021
"Wildfires - Beaver County (Black Mountain Fire), Montana, United States","[-113.45966, 45.1798]",2021-07-19T16:25:00Z,2021
"Wildfires - Lemhi County (Mud Lick Fire), Idaho, United States","[-114.37901, 45.17826]",2021-07-18T23:29:00Z,2021
"Wildfire - S of Carson City, Nevada - United States","[-119.830586901, 38.670339768]",2021-07-17T10:43:00Z,2021
"Wildfires - Deschutes County (Darlene Fire), Oregon, United States","[-121.46825, 43.62011]",2021-07-15T16:42:00Z,2021
"Wildfires - Klickitat County (Lyle Hill Fire), Washington, United States","[-121.27131, 45.69798]",2021-07-15T16:39:00Z,2021
"Wildfires - Okanogan County (Cedar Creek/Varden/Delancy Fires), California, United States","[-120.522, 48.57827]",2021-07-14T19:30:00Z,2021
"Wildfire - NW of Spokane, Washington - United States","[-118.910256697, 48.139651026]",2021-07-13T10:42:00Z,2021
"Wildfire - Mohave County (Elements Fire), Arizona, United States","[-114.08793, 35.43096]",2021-07-12T16:45:00Z,2021
"Wildfire - Mariposa County (River Fire), California, United States","[-119.84447, 37.33621]",2021-07-12T14:44:00Z,2021
"Wildfires - Mendocino County (Broiler Fire), California, United States","[-123.23517, 39.25635]",2021-07-08T16:32:00Z,2021
"Wildfires - Asotin County (Dry Gulch Fire), Washington, United States","[-117.35373, 46.2923]",2021-07-08T16:28:00Z,2021
"Wildfire - Spokane County (Andrus Fire), Washington, United States","[-117.5498, 47.54926]",2021-07-06T15:43:00Z,2021
"Wildfire - Wasco County (Sunset Fire), Oregon, United States","[-121.11953, 45.57376]",2021-07-02T17:45:00Z,2021
