State,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
Alabama,50.96666666666667,69.33333333333333,77.73333333333333,58.76666666666667,50.43333333333334,72.13333333333334,78.3,55.26666666666667,55.53333333333333,70.13333333333334,79.8,65.2
Alaska,6.8999999999999995,38.36666666666667,47.56666666666666,13.1,9.633333333333333,39.233333333333334,48.800000000000004,17.5,10.166666666666666,35.46666666666667,50.0,27.8
Arizona,46.166666666666664,69.89999999999999,78.60000000000001,53.76666666666667,46.56666666666666,69.36666666666666,78.73333333333333,50.166666666666664,43.166666666666664,65.76666666666667,79.89999999999999,64.6
Arkansas,43.800000000000004,67.36666666666667,78.10000000000001,56.1,44.36666666666667,69.63333333333334,79.10000000000001,51.5,49.36666666666667,69.2,79.16666666666667,64.1
California,47.03333333333333,65.86666666666667,76.33333333333333,52.166666666666664,49.23333333333333,63.43333333333333,76.5,51.26666666666667,43.20000000000001,61.333333333333336,74.23333333333333,62.1
Colorado,29.099999999999998,53.9,66.60000000000001,40.300000000000004,28.866666666666664,53.79999999999999,66.83333333333333,34.833333333333336,26.766666666666666,52.1,65.86666666666666,48.2
Connecticut,32.333333333333336,58.56666666666666,69.7,44.93333333333334,31.333333333333332,58.300000000000004,70.83333333333333,43.73333333333333,36.56666666666667,57.76666666666667,69.93333333333334,56.1
Delaware,39.800000000000004,64.13333333333333,74.89999999999999,50.76666666666667,39.36666666666667,63.53333333333334,75.43333333333334,47.79999999999999,43.9,63.46666666666667,74.56666666666666,60.2
Florida,63.4,75.56666666666666,81.39999999999999,68.39999999999999,63.03333333333333,77.16666666666667,81.96666666666665,67.56666666666666,66.13333333333333,76.7,83.16666666666667,73.4
Georgia,52.36666666666667,69.5,77.7,58.833333333333336,52.56666666666666,72.13333333333333,78.26666666666667,56.26666666666667,56.300000000000004,69.83333333333333,79.26666666666667,65.0
Idaho,28.933333333333334,52.29999999999999,64.3,36.13333333333333,28.066666666666666,46.800000000000004,66.56666666666666,32.266666666666666,25.2,50.13333333333333,63.666666666666664,46.1
Illinois,32.166666666666664,62.56666666666666,73.26666666666667,47.1,31.066666666666666,62.79999999999999,72.10000000000001,42.13333333333333,37.199999999999996,63.06666666666666,72.43333333333334,56.7
Indiana,33.333333333333336,61.4,72.36666666666667,46.9,32.63333333333333,62.13333333333333,71.46666666666665,42.53333333333333,38.6,61.300000000000004,71.0,56.4
Iowa,26.23333333333333,60.6,70.96666666666667,42.199999999999996,24.366666666666664,58.9,70.43333333333334,36.266666666666666,28.133333333333336,61.166666666666664,70.56666666666666,53.4
Kansas,35.4,63.4,76.7,48.96666666666667,35.199999999999996,64.83333333333333,77.36666666666666,43.13333333333333,36.733333333333334,64.60000000000001,76.46666666666665,57.8
Kentucky,39.46666666666667,63.46666666666667,73.8,51.13333333333333,39.56666666666666,65.36666666666666,73.89999999999999,46.5,45.1,63.6,73.56666666666666,59.2
Louisiana,53.53333333333333,72.46666666666667,80.43333333333334,63.5,52.800000000000004,75.7,81.0,59.46666666666667,59.333333333333336,74.36666666666667,84.46666666666667,69.4
Maine,23.099999999999998,53.5,63.63333333333333,36.666666666666664,19.633333333333333,51.699999999999996,64.0,38.03333333333333,24.233333333333334,51.0,64.83333333333333,51.7
Maryland,38.93333333333334,63.43333333333334,74.63333333333333,50.36666666666667,38.666666666666664,63.26666666666666,74.3,46.63333333333333,43.333333333333336,62.699999999999996,74.2,59.6
Massachusetts,31.566666666666666,58.199999999999996,69.10000000000001,44.36666666666667,30.5,57.43333333333334,69.86666666666666,43.4,35.06666666666666,56.9,69.03333333333333,55.9
Michigan,26.399999999999995,55.63333333333333,67.03333333333333,40.53333333333333,21.933333333333334,54.26666666666667,66.06666666666666,37.93333333333333,28.7,54.86666666666667,65.33333333333333,50.6
Minnesota,20.099999999999998,55.76666666666667,67.36666666666666,33.96666666666667,12.066666666666668,52.36666666666667,65.73333333333333,29.866666666666664,16.866666666666664,55.5,66.2,47.7
Mississippi,50.26666666666667,69.93333333333334,78.66666666666667,59.86666666666667,50.03333333333333,73.39999999999999,79.26666666666667,55.96666666666667,56.06666666666666,71.7,81.60000000000001,66.8
Missouri,35.96666666666667,63.800000000000004,75.2,50.23333333333333,35.699999999999996,64.76666666666667,75.23333333333333,44.43333333333334,40.333333333333336,65.39999999999999,74.93333333333334,58.9
Montana,25.5,51.46666666666667,65.16666666666667,33.733333333333334,26.3,47.4,66.46666666666667,28.133333333333336,23.2,52.0,64.23333333333333,42.4
Nebraska,29.46666666666667,59.23333333333333,72.3,43.199999999999996,30.133333333333336,58.866666666666674,72.96666666666667,36.4,28.433333333333334,60.0,71.3,51.2
Nevada,36.166666666666664,59.699999999999996,71.89999999999999,42.4,37.333333333333336,56.166666666666664,72.63333333333333,39.9,31.36666666666667,55.36666666666667,69.76666666666667,52.4
New Hampshire,25.333333333333332,54.86666666666667,65.10000000000001,38.96666666666667,23.5,53.833333333333336,65.53333333333333,38.833333333333336,28.666666666666668,53.166666666666664,65.53333333333335,52.3
New Jersey,36.56666666666667,61.73333333333333,73.43333333333334,48.6,36.03333333333333,61.400000000000006,74.23333333333333,45.76666666666667,40.833333333333336,60.73333333333333,72.5,58.2
New Mexico,39.06666666666666,63.0,71.26666666666667,48.4,38.4,64.23333333333333,72.10000000000001,43.833333333333336,39.06666666666667,61.333333333333336,74.23333333333333,57.5
New York,26.900000000000002,55.833333333333336,66.60000000000001,41.53333333333333,24.433333333333337,55.36666666666667,66.73333333333333,39.6,30.366666666666664,54.96666666666667,66.0,53.1
North Carolina,45.36666666666667,65.96666666666665,75.16666666666667,54.43333333333334,46.0,67.53333333333333,75.26666666666667,50.76666666666667,49.93333333333334,64.96666666666667,75.5,61.0
North Dakota,20.900000000000002,54.26666666666667,68.3,31.733333333333334,15.033333333333331,50.36666666666667,67.03333333333333,25.333333333333332,14.0,54.63333333333333,65.60000000000001,43.8
Ohio,33.63333333333333,60.56666666666666,71.5,47.0,32.666666666666664,61.03333333333333,70.5,42.9,38.63333333333333,59.53333333333333,70.03333333333333,55.8
Oklahoma,41.63333333333333,66.9,79.33333333333333,55.333333333333336,42.03333333333333,70.39999999999999,81.73333333333333,49.800000000000004,45.56666666666666,68.26666666666667,80.76666666666667,62.7
Oregon,35.800000000000004,54.6,65.73333333333333,40.63333333333333,37.43333333333333,48.699999999999996,67.56666666666666,39.166666666666664,32.699999999999996,52.43333333333334,64.73333333333333,50.0
Pennsylvania,32.233333333333334,58.333333333333336,69.36666666666666,44.76666666666667,30.5,58.199999999999996,68.89999999999999,40.93333333333333,36.43333333333334,57.366666666666674,68.23333333333333,54.1
Rhode Island,34.13333333333333,58.79999999999999,70.39999999999999,46.63333333333333,33.333333333333336,58.300000000000004,70.96666666666667,45.46666666666667,37.36666666666667,57.400000000000006,70.06666666666666,57.0
South Carolina,50.26666666666667,69.3,77.66666666666667,57.666666666666664,51.1,71.33333333333333,78.06666666666666,54.666666666666664,54.6,68.16666666666667,78.46666666666667,63.9
South Dakota,26.233333333333334,56.96666666666667,70.93333333333334,37.96666666666667,24.2,54.26666666666667,71.06666666666666,31.233333333333334,21.933333333333334,57.4,69.10000000000001,47.3
Tennessee,43.56666666666666,64.76666666666667,74.63333333333334,53.13333333333333,43.0,67.13333333333334,75.26666666666667,48.73333333333333,48.03333333333333,65.26666666666667,74.8,61.0
Texas,50.23333333333333,71.96666666666667,80.33333333333333,62.06666666666666,49.53333333333333,76.8,82.73333333333333,56.800000000000004,54.666666666666664,73.5,85.10000000000001,68.5
Utah,32.9,58.800000000000004,70.5,40.5,32.96666666666667,56.23333333333333,71.39999999999999,37.0,28.400000000000002,55.0,69.7,51.0
Vermont,23.400000000000002,53.96666666666667,64.39999999999999,38.03333333333333,21.2,53.333333333333336,64.63333333333334,37.93333333333333,26.866666666666664,52.699999999999996,64.8,51.6
Virginia,40.56666666666667,63.199999999999996,73.56666666666668,50.86666666666667,40.9,64.16666666666667,73.16666666666667,46.73333333333333,45.5,62.46666666666666,73.2,59.0
Washington,35.233333333333334,54.666666666666664,64.5,38.63333333333333,35.53333333333333,49.06666666666666,66.46666666666667,37.36666666666667,34.23333333333333,54.06666666666666,64.46666666666667,49.2
West Virginia,36.666666666666664,59.73333333333333,70.53333333333335,47.63333333333333,35.766666666666666,60.833333333333336,69.63333333333334,43.199999999999996,41.13333333333333,59.0,69.7,55.9
Wisconsin,22.633333333333336,56.43333333333334,66.60000000000001,37.4,17.900000000000002,53.93333333333334,65.73333333333333,33.86666666666667,24.46666666666667,55.599999999999994,66.46666666666667,49.4
Wyoming,24.333333333333332,50.56666666666666,64.1,35.56666666666667,25.266666666666666,47.333333333333336,65.36666666666667,29.633333333333336,21.599999999999998,49.13333333333333,62.866666666666674,43.5
