state,crop,KharifProd,RabiProd,SummerProd
andaman_and_nicobar_islands,maize,0,20.380815,0
andaman_and_nicobar_islands,rice,24.8095575,0,0
andhra_pradesh,maize,18382.28175,23059.55122,0
andhra_pradesh,rice,7536.735518,10743.42245,0
andhra_pradesh,wheat,0,2069.70876,0
andhra_pradesh,horsegram,0,2042.47575,0
andhra_pradesh,cotton,9374.963693,0,0
andhra_pradesh,soyabean,2874.5955,0,0
arunachal_pradesh,wheat,0,225.4392,0
arunachal_pradesh,soyabean,126.4788,0,0
arunachal_pradesh,maize,159.2892,0,0
arunachal_pradesh,rice,122.2452,0,0
assam,rice,1723.739535,1979.971088,2554.550933
assam,wheat,0,1529.624723,0
assam,cotton,776.45925,0,0
assam,jute,13254.1594,0,0
assam,maize,546.39725,0,0
bihar,potato,18612.03582,15756.45089,0
bihar,maize,14654.80391,15481.03914,9291.522555
bihar,wheat,0,5363.28135,0
bihar,rice,0,3172.335285,5479.24419
bihar,cotton,2091.089175,0,0
bihar,jute,31208.49932,0,0
chandigarh,wheat,0,1.79172,0
chandigarh,maize,1.323,0,0
chandigarh,rice,1.9467,0,0
chhattisgarh,potato,10828.60664,9687.62025,0
chhattisgarh,wheat,0,2292.736793,0
chhattisgarh,horsegram,3336.846975,2152.8045,0
chhattisgarh,soyabean,1514.9365,0,0
chhattisgarh,cotton,3799.699943,0,0
dadra_and_nagar_haveli,rice,12.658275,10.683225,0
dadra_and_nagar_haveli,wheat,0,10.0099125,0
dadra_and_nagar_haveli,maize,4.937625,4.7131875,0
goa,rice,88.107075,90.2337975,0
gujarat,wheat,0,10375.02554,0
gujarat,maize,7510.45932,4958.82891,5006.97288
gujarat,soyabean,1693.9545,0,0
gujarat,cotton,16585.59767,0,0
gujarat,rice,7317.88344,0,12035.9925
haryana,wheat,0,6271.17876,0
haryana,cotton,8642.73564,0,0
haryana,rice,7725.89664,0,0
haryana,horsegram,696.79764,0,0
haryana,maize,8520.49044,0,0
himachal_pradesh,potato,4050.57618,2949.07284,0
himachal_pradesh,wheat,0,575.38593,0
himachal_pradesh,soyabean,2012.97096,0,0
himachal_pradesh,maize,594.74142,0,0
himachal_pradesh,cotton,123.823,0,0
jammu_and_kashmir,potato,3011.147055,8345.873813,0
jammu_and_kashmir,wheat,0,1105.41375,0
jammu_and_kashmir,rice,674.3023875,0,0
jammu_and_kashmir,maize,742.83804,0,0
jammu_and_kashmir,cotton,80.89991,0,0
jharkhand,potato,0,26070.48045,0
jharkhand,wheat,0,650.270565,0
jharkhand,rice,3135.020018,593.5956075,0
jharkhand,maize,1679.368478,0,0
karnataka,potato,59362.3485,66851.13708,58083.77484
karnataka,maize,16712.78427,12077.95475,12694.40991
karnataka,rice,7149.695963,7679.898135,11803.97468
karnataka,cotton,7009.323458,6141.719903,0
kerala,rice,1572.11712,1537.4016,1745.69472
kerala,cotton,798.45696,0,0
madhya_pradesh,wheat,0,17804.6075,0
madhya_pradesh,horsegram,0,2209.008375,0
madhya_pradesh,maize,12777.88622,0,0
madhya_pradesh,soyabean,9940.537688,0,0
madhya_pradesh,cotton,39187.80857,0,0
madhya_pradesh,jute,14226.01394,0,0
maharashtra,maize,11083.14769,14505.20663,12874.44375
maharashtra,soyabean,14290.63256,12874.44375,0
maharashtra,wheat,0,11629.91419,0
maharashtra,cotton,15535.16213,0,0
maharashtra,rice,19311.66563,0,15749.73619
manipur,potato,262.24275,361.142145,353.68893
manipur,rice,226.30671,178.199595,0
manipur,cotton,0,67.7565,0
manipur,soyabean,0,63.415065,0
manipur,jute,135.513,0,135.513
manipur,maize,542.052,0,0
meghalaya,potato,0,752.026275,0
meghalaya,jute,606.26475,608.1996375,0
meghalaya,rice,169.6251375,270.88425,277.333875
meghalaya,cotton,83.845125,59.002125,0
meghalaya,soyabean,64.9023375,0,0
mizoram,rice,0,216.10638,0
mizoram,maize,57.12616,112.6251,0
mizoram,potato,312.228,97.68276,0
mizoram,wheat,0,20.87302,0
mizoram,cotton,150.09246,0,0
mizoram,soyabean,80.2872,0,0
nagaland,potato,1800.32139,1227.40758,0
nagaland,wheat,0,294.80031,0
nagaland,rice,0,222.4908,0
nagaland,maize,0,163.09125,0
nagaland,soyabean,152.001045,0,0
nagaland,jute,1258.000065,0,0
nagaland,cotton,546.029505,0,0
odisha,potato,0,16201.76135,0
odisha,maize,4572.689625,5246.559675,5198.4261
odisha,rice,1476.80939,2483.69247,3995.086725
odisha,horsegram,0,677.4355,318.394685
odisha,jute,14045.37719,0,0
odisha,wheat,0,0,2348.91846
odisha,cotton,3253.82967,0,0
puducherry,rice,20.04345,33.4884375,15.1318125
puducherry,cotton,27.088425,0,4.96125
punjab,wheat,0,11096.2278,0
punjab,rice,7095.0411,0,0
punjab,cotton,8924.58,0,0
punjab,maize,8180.865,0,0
rajasthan,wheat,0,20916.94752,0
rajasthan,cotton,17181.77832,0,0
rajasthan,soyabean,8871.02685,0,0
rajasthan,maize,9199.5834,0,0
rajasthan,rice,49024.09575,0,0
sikkim,wheat,0,52.49853,0
sikkim,soyabean,236.11014,0,0
sikkim,maize,433.57923,0,0
sikkim,rice,404.79831,0,0
tamil_nadu,rice,10711.50791,0,0
tamil_nadu,maize,7776.40311,0,0
tamil_nadu,cotton,4397.24187,0,0
tamil_nadu,horsegram,762.1565,0,0
telangana,maize,6710.47902,8519.676795,0
telangana,rice,2824.05417,4353.039495,0
telangana,wheat,0,3004.36479,0
telangana,horsegram,0,771.5995,0
telangana,cotton,3815.76258,0,0
telangana,soyabean,2489.017545,0,0
tripura,wheat,0,207.7076925,0
tripura,cotton,143.8668,0,0
tripura,rice,249.968565,0,0
tripura,jute,819.1415925,0,0
tripura,maize,88.58465,0,0
uttar_pradesh,potato,0,193342.9488,0
uttar_pradesh,maize,13684.08998,30409.08885,9809.3835
uttar_pradesh,wheat,0,20403.51768,0
uttar_pradesh,soyabean,4590.428168,0,0
uttar_pradesh,cotton,14714.07525,0,0
uttar_pradesh,rice,15106.45059,0,14910.26292
uttarakhand,potato,5810.06034,5810.06034,0
uttarakhand,wheat,0,837.22086,0
uttarakhand,rice,454.44903,696.28167,1005.50646
uttarakhand,maize,0,327.14409,460.68183
uttarakhand,horsegram,275.56767,0,0
uttarakhand,soyabean,416.50686,0,0
west_bengal,potato,0,74118.1455,24135.678
west_bengal,maize,9392.1009,11887.722,11707.605
west_bengal,rice,0,4144.6923,7438.8321
west_bengal,horsegram,0,3818.4804,0
west_bengal,jute,39859.8921,0,0
west_bengal,soyabean,8123.2767,0,0
west_bengal,cotton,14409.36,0,0
